,postal_code,school_name,address,mainlevel_code,Latitude,Longitude
69,529067,POI CHING SCHOOL,21   TAMPINES STREET 71,PRIMARY,1.357651219,103.9352465
70,529176,GONGSHANG PRIMARY SCHOOL,1    TAMPINES STREET 42,PRIMARY,1.357075347,103.9492379
71,529258,EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,PRIMARY,1.352770138,103.9617431
72,529366,ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,PRIMARY,1.348465689,103.9515771
73,529392,CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,PRIMARY,1.350611306,103.9513173
74,529393,YUMIN PRIMARY SCHOOL,3    TAMPINES STREET 21,PRIMARY,1.351315699,103.9505511
75,529426,TAMPINES PRIMARY SCHOOL,250  TAMPINES STREET 12,PRIMARY,1.349943338,103.9434024
76,529565,TAMPINES NORTH PRIMARY SCHOOL,30   TAMPINES AVENUE 9,PRIMARY,1.36048786,103.9487689
77,529706,ST. HILDA'S PRIMARY SCHOOL,2    Tampines Ave 3,PRIMARY,1.34967979,103.9370164
78,529896,CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,PRIMARY,1.339973347,103.9522739
79,534238,HOUGANG PRIMARY SCHOOL,1    HOUGANG ST 93,PRIMARY,1.377382452,103.8808053
80,534793,CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,PRIMARY,1.373302971,103.8975757
81,536451,HOLY INNOCENTS' PRIMARY SCHOOL,5    Lorong Low Koon,PRIMARY,1.367003667,103.8942461
82,536741,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298  LORONG AH SOO,PRIMARY,1.35025456,103.8848469
83,538720,YIO CHU KANG PRIMARY SCHOOL,1    HOUGANG STREET 51,PRIMARY,1.377932643,103.8856437
84,538784,XINMIN PRIMARY SCHOOL,9    HOUGANG AVENUE 8,PRIMARY,1.371767983,103.8828099
85,538786,MONTFORT JUNIOR SCHOOL,52   HOUGANG AVENUE 8,PRIMARY,1.373824441,103.8893078
86,538787,PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,PRIMARY,1.378200625,103.8946672
87,538882,XINGHUA PRIMARY SCHOOL,45   HOUGANG AVENUE 1,PRIMARY,1.357996538,103.8902164
88,544799,SPRINGDALE PRIMARY SCHOOL,71   Anchorvale Link,PRIMARY,1.395285445,103.8894164
89,544822,PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,PRIMARY,1.38376923,103.8913547
90,544969,ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,PRIMARY,1.39050831,103.8874332
91,544974,NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,PRIMARY,1.382550662,103.8962646
92,545080,NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,PRIMARY,1.392211499,103.8911809
93,545088,NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,PRIMARY,1.387061465,103.9032027
94,545091,COMPASSVALE PRIMARY SCHOOL,21   COMPASSVALE ST,PRIMARY,1.394445296,103.8978122
95,545092,RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,PRIMARY,1.393335063,103.9045453
96,545166,SENG KANG PRIMARY SCHOOL,21   COMPASSVALE WALK,PRIMARY,1.389250448,103.8995279
97,555855,ROSYTH SCHOOL,21   Serangoon North Avenue 4,PRIMARY,1.372858365,103.8747717
98,556095,ZHONGHUA PRIMARY SCHOOL,12   SERANGOON AVENUE 4,PRIMARY,1.360260725,103.8697125
99,556108,YANGZHENG PRIMARY SCHOOL,15   SERANGOON AVENUE 3,PRIMARY,1.348976808,103.8684671
100,556742,ST. GABRIEL'S PRIMARY SCHOOL,220  Lorong Chuan,PRIMARY,1.349307668,103.8623099
101,558979,CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,PRIMARY,1.357429523,103.8640094
102,569185,DA QIAO PRIMARY SCHOOL,8 ANG MO KIO STREET 54,PRIMARY,1.371811523,103.8589936
103,569228,JING SHAN PRIMARY SCHOOL,5    ANG MO KIO ST 52,PRIMARY,1.371584034,103.851773
104,569299,TECK GHEE PRIMARY SCHOOL,1    ANG MO KIO STREET 32,PRIMARY,1.365650185,103.8510098
105,569405,CHIJ ST. NICHOLAS GIRLS' SCHOOL,501  ANG MO KIO STREET 13,MIXED LEVELS,1.373476879,103.8342533
106,569730,TOWNSVILLE PRIMARY SCHOOL,3    ANG MO KIO AVE 10,PRIMARY,1.359946495,103.853769
107,569785,ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,PRIMARY,1.384199419,103.8414117
108,569920,ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,PRIMARY,1.368703634,103.8397053
109,569948,MAYFLOWER PRIMARY SCHOOL,6    Ang Mo Kio Avenue 2,PRIMARY,1.376146217,103.8358052
110,579646,AI TONG SCHOOL,100  Bright Hill Drive,PRIMARY,1.360583434,103.8330203
111,579767,CATHOLIC HIGH SCHOOL,9    BISHAN STREET 22,MIXED LEVELS,1.354723075,103.8448747
112,579793,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,PRIMARY,1.349398137,103.8550182
113,579806,GUANGYANG PRIMARY SCHOOL,6    Bishan Street 12,PRIMARY,1.345690115,103.8494532
114,597610,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,PRIMARY,1.338073021,103.7762509
115,598112,BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,PRIMARY,1.337749862,103.7668553
116,599986,METHODIST GIRLS' SCHOOL (PRIMARY),11   Blackmore Drive,PRIMARY,1.332948009,103.783393
117,609476,JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,PRIMARY,1.348438597,103.7331566
118,609558,YUHUA PRIMARY SCHOOL,158  JURONG EAST STREET 24,PRIMARY,1.342919816,103.7408611
119,609647,FUHUA PRIMARY SCHOOL,65   JURONG EAST STREET 13,PRIMARY,1.336503948,103.7361037
120,618310,LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,PRIMARY,1.338203977,103.7180895
121,648200,FRONTIER PRIMARY SCHOOL,20   Jurong West Street 61,PRIMARY,1.337214006,103.6996711
122,648347,CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,PRIMARY,1.351485488,103.7075784
123,648368,JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,PRIMARY,1.339644436,103.699024
124,649036,XINGNAN PRIMARY SCHOOL,5    JURONG WEST STREET 91,PRIMARY,1.342706397,103.6875885
125,649037,JUYING PRIMARY SCHOOL,31   JURONG WEST STREET 91,PRIMARY,1.338876371,103.6878895
126,649076,PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,PRIMARY,1.348836175,103.6950038
127,649188,WESTWOOD PRIMARY SCHOOL,1    Jurong West Street 73,PRIMARY,1.347710965,103.7004675
128,649223,WEST GROVE PRIMARY SCHOOL,1    JURONG WEST ST 72,PRIMARY,1.344712118,103.6989642
