school_name,address,postal_code,mainlevel_code,,City,Country
ORCHID PARK SECONDARY SCHOOL,10   YISHUN STREET 81,768454,SECONDARY,,Singapore,Singapore
OUTRAM SECONDARY SCHOOL,3    YORK HILL,168622,SECONDARY,,Singapore,Singapore
PASIR RIS CREST SECONDARY SCHOOL,11   PASIR RIS STREET 41,518934,SECONDARY,,Singapore,Singapore
PASIR RIS SECONDARY SCHOOL,390  TAMPINES STREET 21,529400,SECONDARY,,Singapore,Singapore
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296  LOR AH SOO,536742,SECONDARY,,Singapore,Singapore
PEI HWA SECONDARY SCHOOL,21   FERNVALE LINK,797702,SECONDARY,,Singapore,Singapore
PEICAI SECONDARY SCHOOL,10   SERANGOON AVENUE 4,556094,SECONDARY,,Singapore,Singapore
PEIRCE SECONDARY SCHOOL,10   SIN MING WALK,575566,SECONDARY,,Singapore,Singapore
PING YI SECONDARY SCHOOL,61   CHAI CHEE STREET,468980,SECONDARY,,Singapore,Singapore
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,SECONDARY,,Singapore,Singapore
PUNGGOL SECONDARY SCHOOL,51   EDGEFIELD PLAINS,828870,SECONDARY,,Singapore,Singapore
QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,148800,SECONDARY,,Singapore,Singapore
QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,149295,SECONDARY,,Singapore,Singapore
RAFFLES GIRLS' SCHOOL (SECONDARY),2    BRADDELL RISE,318871,SECONDARY,,Singapore,Singapore
RAFFLES INSTITUTION,1    RAFFLES INSTITUTION LANE,575954,MIXED LEVELS,,Singapore,Singapore
REGENT SECONDARY SCHOOL,50   CHOA CHU KANG NORTH 5,689621,SECONDARY,,Singapore,Singapore
RIVER VALLEY HIGH SCHOOL,6    BOON LAY AVENUE,649961,MIXED LEVELS,,Singapore,Singapore
RIVERSIDE SECONDARY SCHOOL,3    WOODLANDS STREET 81,738524,SECONDARY,,Singapore,Singapore
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1    Technology Drive,138572,SECONDARY,,Singapore,Singapore
SEMBAWANG SECONDARY SCHOOL,30   SEMBAWANG CRESCENT,757704,SECONDARY,,Singapore,Singapore
SENG KANG SECONDARY SCHOOL,10   COMPASSVALE LANE,545090,SECONDARY,,Singapore,Singapore
SERANGOON GARDEN SECONDARY SCHOOL,21   SERANGOON NORTH AVENUE 1,555889,SECONDARY,,Singapore,Singapore
